expr_BRCA1,expr_SPOP,expr_FOXA1,expr_MYC,expr_BRCA2,expr_TP53,expr_KLK3,expr_ATM,expr_ERG,expr_NKX3-1,expr_AR,expr_PTEN,expr_CHEK2,submitter_id
1.166488981904263,4.054187277289026,5.858390478466332,4.709255388780054,0.659280111048368,3.9759644733649218,8.66229879617978,2.3600895580624717,1.9323181955358464,6.764407174005668,4.187969990295556,3.6543578826795162,1.8542333604834091,TCGA-KC-A4BL
1.1398821828663266,4.9539287781350785,4.465905819801367,3.626687510940819,0.1872261761274098,3.2555818403564722,8.382171660515517,2.3459797753132348,2.1642076916993815,5.889499925535993,4.112212312314134,3.8950762163413075,1.115043225125856,TCGA-EJ-7123
0.8787549983450508,4.301538932171498,6.040751016668945,4.586988903601611,0.17210285659962277,4.164503198385732,9.575325510400262,1.8829399213120472,5.132909562384823,7.75893170798823,3.748013553889387,2.909934705055233,1.5293118679548154,TCGA-G9-6361
2.8890430978404074,4.032210259744394,5.81092330461365,5.684454894507256,0.04564235787870107,3.753261713043204,5.914410701665667,2.5192034011397793,1.008286333619738,7.142750639322226,6.204962933001316,1.999234237127643,2.319688000893708,TCGA-XQ-A8TA
0.9031244353423962,4.113197392198348,5.374909358112267,2.9424897121582716,0.28803201121606886,3.261341268186371,9.96750710153095,1.9695150623012316,2.020699521656073,7.253019396362878,3.998982047715006,3.4630541852072607,1.339883863297227,TCGA-HC-8259
0.7942134892947482,3.7777896522012036,5.9919666710226664,4.042433533216153,0.13409373448069878,3.6250899856996477,10.495345158789616,1.615757899178918,1.199723790036521,7.136095543959216,4.200879388107696,3.235127055374245,1.5180241317977852,TCGA-XK-AAK1
1.5585866256099705,4.104149668009168,6.506030965369583,4.886299586500955,0.26020809545102586,3.699844121838626,9.111257830755328,2.4046180785591633,5.651363283526825,7.593434644694561,4.175588087087536,3.4302965313540845,1.6390743815624067,TCGA-CH-5790
0.9282588276500089,3.9540628181067556,5.468850545982482,3.2684808950067903,0.31787174361483855,3.5881885742718866,9.73826648142214,1.8105157977104984,2.344235544249233,6.917206673506085,3.7188046940633512,3.4367736413423424,1.245076359204353,TCGA-ZG-A9L6
1.237156098116169,3.8417872189851754,6.136047891301468,4.079477932820054,0.31232590336454086,3.8907625960838574,8.742981482321484,2.0853366314433535,4.982071882955243,6.950677019492032,3.5854032730930605,3.185807029802739,1.2676797297836484,TCGA-V1-A8WS
0.8714188810786175,4.03872261447219,6.123349898249228,4.574368651875071,0.178146185383474,3.9620048402283845,9.943763185027828,2.2350768332112847,5.1838869545630155,7.471873145905688,3.8221683173305796,3.48162463077477,1.816972271699459,TCGA-HC-8213
1.0284401506911072,4.179962468782619,6.165483818442288,4.157309971668044,0.38926797320559314,3.9356614039935454,9.53316797104588,1.9806289857102415,5.413284886802583,7.387151657918978,3.7749218200973447,3.353147943087771,1.8288143771790661,TCGA-KK-A6E6
1.4332733623138854,4.0628229348991445,6.0774222650271374,4.495635414679273,0.4659328548752541,3.716616209085536,9.511220841134106,2.2001536168420994,1.5176734391762705,7.597719750091369,4.217868126507173,3.191677275038227,1.673069772678874,TCGA-EJ-5501
1.0748658949381091,3.9898836418071104,6.2570996105220775,5.125236978320016,0.22282350010328444,3.83012290720559,10.14778974076154,1.8284931178397035,4.9224596031925305,7.247580886764175,3.857408412154923,3.1800684662721523,1.905668343335838,TCGA-J4-A83N
1.1686357400362506,4.22901530554005,6.188698525636054,3.407063475772948,0.34224127794112896,3.346702476355506,9.988510495149809,2.072228087161534,4.45228587064941,7.35478361083229,3.9669845635021206,3.4769354530533265,1.5465407102619877,TCGA-EJ-A8FO
1.1914952828148233,4.129581388688143,5.812363000512279,3.9467683343569906,0.3657536078719364,3.5211735661640624,9.647762330275489,2.3374791519713662,2.0746425448931234,7.676888442129758,4.198552914394417,3.458830867822562,1.3826878655257788,TCGA-EJ-7321
1.06208660731866,3.193024541277767,5.435827645395673,3.4451185687200834,0.6148071891086939,2.948341879249454,7.884519505959543,2.6037927805149472,1.5057204906024284,6.614414962148423,4.559831757718107,3.353091982987308,1.3727530905532233,TCGA-HC-8265
1.1468626246168205,3.9287109833142546,5.76190986333281,5.030065302959201,0.3064547577750645,3.42844931801371,8.37046625065531,1.794389341414071,2.3331724922618364,6.4873673777960725,3.934723390948922,3.3654665717063565,1.5642103944974108,TCGA-V1-A9O7
0.5099452363386834,3.982386403980345,5.268587274637254,3.1113440648755626,0.16067222538889844,3.0836195168607077,10.678388942238126,1.1093543852000118,1.2382292930040264,6.821975470573221,3.3721701381182507,3.2600523165469126,1.3360005670654236,TCGA-KK-A6E3
1.5582919756099434,4.1346848407358285,6.389441354411496,5.282252515056345,0.5038010088290262,4.0695155236594625,9.946270437653167,2.4482772429652098,1.3269954226967966,7.860604799615019,4.487668485753186,3.6870577959016666,1.7852382522377896,TCGA-CH-5748
1.096242817019375,3.887670884863785,6.789261115534312,4.30131672530412,0.3378284593923531,3.5475376393974365,9.157811946707378,2.28919585587503,5.3073217055375075,7.627640004223109,4.110750905794568,3.4634081957905485,1.4212753300151362,TCGA-ZG-A9L1
1.1003441215128684,3.653475049582474,6.0579540544586585,4.510041589696483,0.23507212217948356,3.7067414741591183,9.785662093479885,1.8653196723360834,1.8779677460412723,7.673929336808976,4.121896497684016,3.6083551721687885,1.5053876491317466,TCGA-YL-A8SQ
0.9558190900075585,4.063715237175437,5.8292435144110195,3.5796754505993835,0.21074703097765846,3.7454913297401915,10.046767815746815,1.5098827353645088,1.6754503468276718,7.4650778681173655,3.6754876832935244,3.4626530306288754,1.3633839095367846,TCGA-G9-6342
1.7078886101909079,4.175949126485465,6.621223611227719,4.623015015695716,0.4892546338378476,4.057445418805831,9.40043590793858,2.37056144800314,5.244861208540571,7.612220765182024,4.532141323693528,2.7896916301394437,1.6327441986643347,TCGA-HC-7230
1.4872702784598928,3.712754659547353,6.249419875716817,4.57306529521225,0.5392381382026685,3.812666650888011,7.708721036689948,1.8853712378513332,1.2396777289467125,7.103841746545925,3.480479800389283,3.0847636922182566,1.362565034420654,TCGA-G9-A9S0
0.6126418659002953,3.9088820778755795,5.885588342950139,3.5980708768759215,0.21776913497675482,2.9560918723439964,10.173966698264968,1.2139033330028444,5.098444685920664,6.814296763788286,3.706734106907778,0.9942882726958825,1.9797040758920303,TCGA-EJ-A46F
1.185554218801918,3.9864474989122773,6.035856720946921,3.5370386045735684,0.3761049528016777,3.6160587300238913,9.856958705909861,2.5278464002792567,1.6391132127438501,7.240455625246082,4.7897375523960575,3.626506586255547,1.4901587581501792,TCGA-XK-AAIR
1.3521686463905147,4.036042553550308,6.100198541183526,4.254860654045514,0.3896744222018403,3.756930548935095,9.103345643942639,1.8610056419648693,1.9220564701759129,7.709387693179821,4.562858540822379,3.669163873029125,1.6996624550070674,TCGA-EJ-5509
0.8784642463336985,3.821268632159682,6.209525604403306,4.156495861210921,0.14747127935820828,3.3552092880237336,10.21348974984385,1.912604478920258,1.588949450006764,7.401098471713671,4.0044800279383725,3.463949933906305,1.2085423480403057,TCGA-G9-6494
0.4568550644904604,3.211565167010762,5.597041747685544,4.459708480782492,0.14513876566623868,3.181456368477481,10.090580284151956,1.4155132997891107,1.5160279261180696,6.521121297003912,3.4955252609854783,2.915487045374561,1.0137803531514122,TCGA-J9-A8CN
1.0178359786408218,3.847394880276255,5.7903282988484985,4.351196224281279,0.2178495628531001,3.401653944088334,9.66859124485037,2.1395483824119546,1.6762550854714175,7.325760891897924,3.96336039884332,3.242791550394097,1.3714344982128666,TCGA-EJ-A7NH
1.1989401617978614,5.518264213844083,3.4929466836049015,3.675624493983213,0.25642357654900866,3.336303241744165,7.039985099929622,2.117495709298761,2.554681437720818,4.8050221827715545,3.3556350025850645,3.9976996587369573,1.7858922909500081,TCGA-EJ-7783
0.6169678338211274,3.8751888821024156,4.9070369286430955,3.3534416822495094,0.17965132823807572,3.2854572578396537,9.051100554427165,1.0838370030859554,1.4284674425110868,6.01981874060451,3.095559508812397,2.9831231111388217,1.562933134778347,TCGA-J4-A67Q
1.1105408595333834,4.182407330750334,5.725192958984009,3.6785689834181996,0.3462811147547166,3.732891554830269,9.469124983277183,2.2420810889030007,1.9895715372507932,7.194540974808402,3.666355176485255,3.439436844315824,1.620773422097846,TCGA-EJ-A8FU
1.5558261429854512,4.271800132616894,6.49094809198865,4.439794237920278,0.7071487001957589,3.7150977315538882,9.535704621275622,2.829181698472234,5.45784740876909,7.9226504314137145,4.549049468848756,3.308775028070955,1.7519265687263317,TCGA-EJ-5522
2.043555263115427,4.163099183107409,6.219327146180566,4.846784497665189,0.883850181381815,4.198320119267345,8.929934457301814,2.2681592659790284,6.030114424288484,7.678496078336547,4.752719985000629,1.4673673071463698,2.1682076282657268,TCGA-YL-A8SL
1.5015408491242772,4.026454653676403,6.36018406308873,4.4926272718820215,0.2723907538828223,2.1015209868227154,9.642267407813959,2.0574004108029555,5.859754922627151,7.5756069077203785,4.3659760098051805,3.120548297445616,1.716245380750838,TCGA-VP-A87K
1.308467945655384,4.381665319407381,6.2214991008334,4.358141133781217,0.4925598149590981,3.7157623492101957,9.653484081717718,2.5419405188355313,4.570196680664993,7.263207816085978,4.12856883959402,3.385257683638161,1.4847813078345447,TCGA-FC-7708
1.955110552389908,4.137720093690033,6.380892409962958,3.620844159717951,0.7549005768354274,3.994680752442357,9.349952529221065,1.8466105936922368,5.772650049404955,7.746828884133048,3.9990572154904327,2.188654626653152,2.2049502131672765,TCGA-HC-7213
1.3813320692900757,3.884997072762501,6.042524514276854,1.7331765117957572,0.42146968224988,2.8889596502301593,9.81509705044505,1.1654918175076545,1.719117089235943,6.72493231650536,4.182892535820024,2.447844937647174,2.0992809330060926,TCGA-KK-A6E7
1.1511098576258638,4.0094182826325,6.240655305330399,3.515703944427633,0.2876570721392757,3.5325092295853797,9.549333963024452,1.835026472277396,5.435492487723516,7.556241177296261,3.849438839959481,2.9532161364509126,1.5299617109323036,TCGA-G9-A9S7
0.8433328673238295,3.807923916059765,5.5063992583967325,4.38383874181554,0.4032626845529643,3.6925203181174475,9.058049859298082,1.7585301053766131,1.9359319606712708,6.7097132810208695,3.784689508959912,3.4347868846557104,1.2039628042759356,TCGA-HI-7168
0.485200076127018,3.144690926678824,4.740912757154489,3.598339130437364,0.10598032353723204,2.7571704695114008,8.80403740796477,0.9122827104766162,1.7144103528004506,6.194047367838317,3.1431388342764457,2.636038491791916,1.213427963096691,TCGA-G9-6338
1.306628665701635,4.17760209679758,6.306531823382796,3.883814870624528,0.43909328908814843,3.7002050764438508,9.63492703890473,2.600606034669571,4.742608561405925,7.76795689805134,4.500321761411465,2.892541624254718,1.6951200730736276,TCGA-EJ-7315
1.3001644137388433,4.263911512632919,5.783578998182753,4.1867125392015865,0.39393219229444015,3.827725760030643,9.403888169726157,2.51258666556131,2.41050632721175,7.080177330297959,4.216473695455164,3.8653505972297153,1.6628459691347166,TCGA-EJ-7792
1.0101088900767061,4.001693676691653,6.05637760747198,4.503042217792267,0.4775997058673635,3.766897806469879,8.447299600117246,2.096716467224018,1.827142700452031,6.752447112859337,3.3631423887928897,3.396312134918828,1.5992057418678514,TCGA-KK-A8IL
1.033931535193777,4.098487634499858,5.721510729706959,4.015117355270775,0.35206433138104914,3.5497639277669117,9.652431085266134,1.6904647510764736,1.6833201448248047,7.254110941813926,3.797137268545248,3.499853472808434,1.3648408719007186,TCGA-HC-7750
1.4849625329165919,3.570698214184754,6.233669863112138,5.381278427068997,0.7650491498490233,3.786561818063317,9.162235872185196,2.1066918561699963,1.2025217520586213,7.458973390643616,4.6901260351605085,3.255053450986789,2.0844290831908747,TCGA-YL-A9WI
0.8278965811115597,4.172900010627503,6.251015820361371,4.193889701307978,0.31005492330350615,3.428452561728607,8.573711719461821,1.8522429046075657,5.170729987506796,7.289630111702963,4.349575754403373,3.3545459288183426,1.5859236053690324,TCGA-J9-A52B
0.4931096179602107,3.2205184749794764,4.731904153374675,3.433716200024819,0.12177505692592092,3.4334999890407816,10.395773446694845,0.8084382248946799,0.6221344133135258,6.478183475350668,3.1832693723988825,2.456421437708913,1.4898883173299966,TCGA-KK-A7AW
2.2908161093940467,3.8191354886045383,5.892733397453217,3.8282891605482554,1.674513789170288,3.9651162788809753,6.890495074987093,2.0814520193145962,4.157358484248853,6.412094255894232,4.054806465374609,2.2130213706313007,2.3867699792194936,TCGA-ZG-A9N3
2.4050514245385357,3.386848256952031,6.516360369740901,4.84883610552283,1.4112796138137993,3.840909315165503,7.986517043207017,0.7608525569139583,0.9061999911639844,7.389345338059696,4.3301845054935395,3.3207426446717525,2.946400212585006,TCGA-FC-A4JI
0.9742199596717911,4.039045007867152,6.061449692794683,3.8390027491892336,0.1844027229977792,3.7948215506208305,9.722683793304471,1.435774763210787,5.396936157765204,7.593964648491126,3.734077459915147,3.1086992863225085,1.6889697203898295,TCGA-HC-A6HY
1.3298562760161876,3.594873673211347,5.10021941429763,3.548455792851118,0.7640249411933822,3.4279691321595833,7.755530439729113,1.5520841854041252,3.2795079760680546,5.914918759742071,3.5036877824780097,3.7144570408528033,1.8847184021681378,TCGA-J9-A52E
0.9221137451769438,3.9318883758539735,5.737199842467124,4.684945781067158,0.35501356461206623,3.680106080374938,9.644507196686305,2.124092197513572,4.770237066699509,7.016578203578091,3.806589153747966,3.3729625026473715,1.6453454507725187,TCGA-HC-A8D1
1.2071975990815504,4.101594881685882,5.756672476960267,3.9612435531597607,0.3420992324863446,3.8976278911441202,9.629892510313114,1.8665422136717407,2.182043255340555,6.724128430665738,4.132213400465669,3.649124598331877,1.4088383255547852,TCGA-CH-5771
0.4902350861499817,3.367650939341476,5.666930367473057,3.1361852814361932,0.104720310770403,3.882431462650636,9.513218389000718,1.4209131555155052,5.294888996397358,6.9457589056321805,3.002320523297511,2.5401363530089713,1.383264776559526,TCGA-VN-A88M
0.6526897029286691,3.346445481608402,5.369196990331258,2.7330744660069457,0.031110995025052664,3.1573365348703337,10.058473120889806,0.9947321581807177,1.03592094932819,6.949644735561989,3.2788866112673944,2.8247956616266,0.9349947166679268,TCGA-G9-6343
0.6024015672532002,3.811583694089388,5.3789844946151915,3.8819966939211734,0.09194087369835728,3.682894077430927,10.146358010632733,1.1594251280646222,1.2985554468118838,6.95530610405947,3.5326641444044613,2.9688953636003985,1.6895606169078075,TCGA-HC-A6AQ
1.2914065920875724,4.075616956882699,6.371919833987101,3.1787827313017565,0.4252677354043441,3.6496317405961487,9.988508704090343,1.9423036534612017,1.1762829545042726,7.189035654225892,4.051835381314122,3.6953211616934123,1.7010321055950974,TCGA-EJ-A65E
0.9923624888253992,3.7776912926328543,5.805069002885356,3.7866434390562818,0.3529078573694884,3.7753438065128924,9.546937365100694,1.7704847589492,2.019558832078459,7.268770848759418,3.3622278369634366,3.0314757944290056,1.0905801169708453,TCGA-ZG-A9LY
0.8895770783557316,3.460892944586019,5.523037274758608,4.01287236108724,0.18481843699254183,3.5473850118271297,9.423820720571996,0.9127243799945467,0.6113946786876863,7.160645653695757,3.96290431496159,2.807750729207828,2.0380334379311194,TCGA-M7-A722
1.5772658987277492,3.973246036397398,6.240256936609938,4.336444631348808,0.6105261518716084,1.9342857033678604,9.788824732066452,2.5045376937371486,1.619249619818093,7.180999373639098,5.051262069562512,3.3182214875111775,1.9079560619638796,TCGA-YL-A8SC
0.9075324902002554,4.367008169999702,5.909238791651981,4.522284106427988,0.24639121803390018,3.9003916223981925,10.036112587667763,1.7555276183059954,4.304277232863123,7.026331333449301,3.82204140350271,3.1951239696268363,1.5087110890676183,TCGA-J4-A67T
1.1973106614523856,3.843682064245589,5.528768949033036,3.7802181215293245,0.1697427745870945,3.378095919187437,10.101749844667317,1.0008892001394947,1.1276855361538167,5.797515654073048,3.113813042661149,2.749326492414049,2.021428350857404,TCGA-HC-A6AO
0.9718011218017226,3.888314158781339,6.494059844464715,3.1054114503558337,0.3094680257736381,3.9236926494941367,10.10040891575556,2.210667153032708,1.4775965195266767,7.266671609137015,4.524415558292956,2.12543016615145,1.3552679825147678,TCGA-VP-A87J
1.3108970966474436,3.9351885990597513,5.9215607251172955,5.3980169895448125,0.3357576956833441,2.3532211714625184,8.680230411578199,1.910238558878938,2.1539342612373535,7.183200308295964,4.424510048272802,3.6191407688627426,1.774579400018202,TCGA-V1-A9Z7
1.2737413748805597,4.692103559935563,4.9409607617599,4.120065913771732,0.5558372295953387,3.516901220248578,8.588045407916075,2.3477783197427993,2.4109461026641106,6.226018946359269,4.424886152033961,4.294654738159442,1.2671166032905603,TCGA-EJ-7328
1.137704788474206,3.9664638411063926,6.183004937903569,4.9527314260037265,0.3717704315840673,3.494238322022437,8.796445114802783,2.3872938209209997,5.0797912633931475,6.977476844906796,3.583021592577927,2.723746369208534,1.6817027585025814,TCGA-XQ-A8TB
1.0676718657614728,3.9643156003485602,5.808047290253898,4.479722602584736,0.3826058139620818,3.7342064856989783,9.323792621077438,1.9002849710290377,2.6198890724923376,7.263859680192316,3.7994319679920445,3.3845292367393722,1.7059292126228616,TCGA-VP-A878
0.6483067060867914,3.847448216966257,6.009094963921129,3.5458574535189147,0.09330817713365178,3.0916286451506947,9.794289700377792,1.6884154376175275,4.4022629914252525,7.145408967236373,3.8193659030992877,3.075351814782158,1.255331096601078,TCGA-2A-A8VL
1.1191662676158587,3.908597143859955,6.0186207080355585,4.179788044039568,0.30858703313167724,4.031276958754526,9.968654669815741,2.128981424739814,1.823984616522792,7.358491605120128,4.256599456865741,3.0335481542382166,1.4148089290180919,TCGA-EJ-5510
1.1729773706234163,3.8693117273350834,6.260663478858139,4.007971163499233,0.3088807835927746,4.1649692127443005,10.225975411969594,1.7619873108943849,5.191198639475318,6.869464349446071,4.081328553644032,2.063705883043771,1.4076888579740474,TCGA-CH-5744
1.6081370667010524,3.9837797871271574,6.202564868983875,4.80692011704776,0.6120455791229038,3.4290913684464512,10.03097590773473,2.306108877167662,2.2032729158704227,7.461857437618033,4.6514925457267084,3.283962945497549,1.3678757755958726,TCGA-EJ-5519
1.4135933303076715,3.994246103552617,6.433278299206519,5.256487051343298,0.32244575238807205,3.3574057042174954,9.376546748975175,2.5976026945439736,5.6970743588056925,7.446575355819711,3.9336338009240372,3.5078970003212113,1.9794416322641055,TCGA-KK-A6E2
1.641401587639493,3.7392659624952973,6.038340976492675,4.7255064039433,0.4688779959582253,2.673037687709442,9.106557655382957,1.9580645555132363,5.29263173392809,7.503393925125973,3.957332834537178,2.627779689705598,2.202201062954191,TCGA-KK-A7B4
0.4969497982303427,3.121165968140897,4.555141354987549,1.934863646196506,0.18073696866371633,3.102800330533002,8.5072084897724,1.1601149562620514,0.7750036270297775,6.578749697383772,2.791686444285877,2.5758284267436853,1.0537543830262828,TCGA-X4-A8KS
1.666271829186119,4.573964308061798,6.322189226693796,3.7262378573209483,0.661398482245365,3.5947747973745985,9.32167845234315,2.2230330982345645,5.4041857032429315,7.886037716611035,4.376878405253232,3.757504924784139,2.1249286376732264,TCGA-EJ-5507
1.036524096354688,3.853781416930986,6.158599282364955,4.28153618541268,0.20514250020465719,3.7581722806098856,10.533456260007059,1.9415578343164495,1.6241885843800083,7.40062387608286,4.377972176455199,2.759990952510887,1.4004684326757726,TCGA-CH-5737
1.0154842707605407,3.9893099193878836,6.479904828237975,4.79146965372627,0.28623102018446617,3.4226032981664303,9.912754080342342,2.502247098080885,5.528910302171926,7.591059425432412,4.086836446731779,2.964664633589094,1.6921785159730798,TCGA-J4-A83I
0.7195943505747936,3.335178654448784,5.057303207884587,3.349907596040379,0.1797348808971877,3.298019667144789,10.279423312802296,0.8969855808161495,0.8974340570238499,6.452219602336613,3.1416707539592292,2.7414785297144064,1.5821900379409632,TCGA-QU-A6IO
1.041265621815557,4.344141728932482,5.639412472651816,3.828658787642216,0.2655898259769649,3.9254543990585637,9.395212880657281,2.1035608192133624,2.0475121818856628,7.302791865255381,3.8171979079523624,3.574985409021203,1.5801944604644318,TCGA-EJ-A7NG
1.1770228959593374,4.2532069814935465,6.015312900973204,4.838630733598746,0.5030152016740136,3.7781601292976075,9.693958427901363,2.1469716772233207,3.8075176795468355,7.664456621356944,3.897286961295251,2.7805134881692526,1.8535755378525174,TCGA-KK-A8I6
